Ranking,Country,Score,Political Context,Economic Context,Legal Framework,Safety Score,Sociocultural Context,Difference In Position From 2022
1,Norway,95.18,96.54,92.46,94.92,95.98,95.98,0
2,Ireland,89.91,93.91,82.11,82.55,96.94,94.03,4
3,Denmark,89.48,91.95,85.17,87.5,95,87.78,-1
4,Sweden,88.15,92.58,86.08,88.74,84.72,88.64,-1
5,Finland,87.94,91.55,83.8,84.86,90.35,89.17,0
6,Netherlands,87,88.93,89.08,90.3,80.18,86.53,22
7,Lithuania,86.79,88,77.65,84.53,94.33,89.43,2
8,Estonia,85.31,85.36,76.75,82.88,90.79,90.75,-4
9,Portugal,84.6,86.32,71.02,84.38,91.48,89.77,-2
10,Timor-Leste,84.49,81.88,74.51,83.02,95.93,87.12,7
11,Liechtenstein,84.47,85.63,69.93,81.45,94.44,90.91,-1
12,Switzerland,84.4,87.42,72.79,77.95,91.52,92.33,2
13,New Zealand,84.23,89.69,77.45,78.62,91.3,84.09,-2
14,Czech Republic,83.58,82.19,65.52,86.64,92.27,91.29,6
15,Canada,83.53,88.13,72.22,86.48,82.56,88.26,4
16,Latvia,83.27,85.69,73.97,79.45,91.26,85.98,6
17,Slovakia,83.22,78.04,75.16,82.96,90.07,89.85,10
18,Iceland,83.19,86.04,68.35,82.35,92.22,87.01,-3
19,Samoa,82.15,76.88,72.55,67.92,99.09,94.32,26
20,Luxembourg,81.98,87.42,71.94,76.77,91.67,82.1,1
21,Germany,81.91,87.33,82.31,85.85,66.88,87.19,-5
22,Namibia,80.91,75.75,70.78,79.81,90.48,87.73,-4
23,Costa Rica,80.2,65.94,70.59,85.93,90.56,87.97,-15
24,France,78.72,79.44,68.87,81.56,76.64,87.1,2
25,South Africa,78.6,77.26,64.1,83.02,83.9,84.7,10
26,United Kingdom,78.51,80.88,74.71,73.49,82.12,81.36,-2
27,Australia,78.24,83.85,68.49,69.41,87.46,81.98,12
28,Moldova,77.62,79.24,57.95,83.12,81.91,85.86,12
29,Austria,77.3,74.01,61.85,77.32,89.2,84.14,2
30,Trinidad and Tobago,76.54,71.25,60.78,64.15,94.44,92.05,-5
31,Belgium,76.47,79.06,62.09,78.3,80.53,82.39,-8
32,Jamaica,75.89,67.75,71.37,68.49,85.24,86.59,-20
33,Cabo Verde,75.72,73.86,60.78,73.76,90.01,80.17,3
